No,Distance,Velocity
1,0.360359361950637,0.568
2,0.342560006876475,-0.356
3,0.345356896003555,0.055999999999999
4,0.353911391670562,0.17
5,0.36284765901654,0.178
6,0.365570550526388,0.055999999999999
7,0.356403377057641,-0.184
8,0.371149621345058,0.294
9,0.365314795431486,-0.115999999999999
10,0.36326384593361,-0.04
11,0.368411123561016,0.102
12,0.359888120949585,-0.17
13,0.381015302006236,0.422
14,0.389890107122635,0.178
15,0.366980523220034,-0.458000000000001
16,0.374646648857657,0.152
17,0.45727979146183,1.654
18,0.335191805009803,-2.442
19,0.361889974408013,0.534
20,0.3726904865252,0.216
21,0.422686447472503,1
22,0.470231046694548,0.95
23,0.454709101388297,-0.31
24,0.439658219953722,-0.3
25,0.46208591594359,0.448000000000001
26,0.464236129657956,0.042
27,0.474363013778298,0.204
28,0.473212691130034,-0.024
29,0.493098352240745,0.397999999999999
30,0.495740706983466,0.052
31,0.47839024158812,-0.346
32,0.427507356274794,-1.018
33,0.60832175040873,3.616
34,0.540018837786554,-1.366
35,0.401392260924074,-2.772
36,0.381114872722812,-0.406
37,0.337975400490696,-0.861999999999999
38,0.336488234645459,-0.03
39,0.354625174767482,0.362
40,0.387712830119165,0.661999999999999
41,0.39372481691759,0.12
42,0.445042077563111,1.026
43,0.439078172999138,-0.118
44,0.454476901731146,0.308
45,0.471811272266232,0.346
46,0.446551727750518,-0.504
47,0.464191525437638,0.352
48,0.462917361706572,-0.026000000000001
49,0.430442678658787,-0.65
50,0.440971525610865,0.212
51,0.454964636436716,0.28
52,0.450001327206719,-0.1
53,0.451313796393905,0.025999999999999
54,0.437863125126989,-0.267999999999999
55,0.444218812436095,0.125999999999999
56,0.45762896995647,0.268
57,0.461160958747621,0.072
58,0.457408592515073,-0.076000000000001
59,0.447365064485236,-0.199999999999999
60,0.413402583948668,-0.680000000000001
61,0.399409817239464,-0.28
62,0.406597438674342,0.144000000000001
63,0.364046403687569,-0.852000000000001
64,0.403575712998788,0.792
65,0.360927453176565,-0.854
66,0.358727383413122,-0.044
67,0.372110967700416,0.267999999999999
68,0.39923820867135,0.542
69,0.459559827084715,1.208
70,0.47618400312867,0.332
71,0.499091795052719,0.458
72,0.513385047105215,0.286
73,0.474858007454012,-0.77
74,0.497733097473629,0.456
75,0.459762133516398,-0.758
76,0.45278215136139,-0.14
77,0.449561838063588,-0.064
78,0.434536145528939,-0.302
79,0.445593844984715,0.222
80,0.46219423875297,0.332
81,0.452336954046183,-0.198
82,0.453192526866805,0.018
83,0.421693212358037,-0.629999999999999
84,0.376335796778866,-0.908
85,0.542335116751487,3.32
86,0.604043111306385,1.234
87,0.735028471472058,2.62
88,0.701509793795761,-0.67
89,0.615107219588338,-1.728
90,0.417451116817564,-3.952
91,0.369718419482306,-0.956
92,0.386665030831598,0.34
93,0.579941072969628,3.864
94,0.509437427577904,-1.41
95,0.499851809757351,-0.189999999999999
96,0.458860220870958,-0.820000000000001
97,0.44537101409901,-0.269999999999999
98,0.43403165729977,-0.228
99,0.420573807640629,-0.268
100,0.432309029451563,0.234000000000001
101,0.414833060011753,-0.35
102,0.425581104406306,0.216
103,0.425035017707637,-0.012
104,0.399999146574271,-0.499999999999999
105,0.373194507966343,-0.536000000000001
106,0.410353555450425,0.744
107,0.379715976548123,-0.614
108,0.375973935360367,-0.074
109,0.367629955902121,-0.168
110,0.398720763178601,0.622
111,0.403138850403123,0.088
112,0.418215472432356,0.302
113,0.448099363590956,0.598
114,0.503798010334542,1.114
115,0.505648638702988,0.036000000000001
116,0.48691227386232,-0.374000000000001
117,0.464045748531951,-0.458
118,0.457249358849222,-0.136000000000001
119,0.448960086314383,-0.164
120,0.427466181336895,-0.43
121,0.445223199175948,0.354
122,0.468484990800309,0.466000000000001
123,0.463780921525134,-0.094000000000001
124,0.465213599771924,0.028
125,0.488032778239324,0.456
126,0.524303545236083,0.726
127,0.542804834751675,0.369999999999999
128,0.618504786277673,1.514
129,0.64336613986129,0.497999999999998
130,0.593544451241945,-0.997999999999999
131,0.674648742528471,1.622
132,0.550146196672648,-2.49
133,0.522013861958345,-0.562
134,0.46663169325116,-1.108
135,0.467533714643652,0.018
136,0.442733613834684,-0.496000000000001
137,0.448222056081569,0.11
138,0.436357465192274,-0.236
139,0.440449038911908,0.08
140,0.476633102401211,0.724
141,0.457714509521102,-0.378000000000001
142,0.475828690528239,0.362
143,0.473162840639401,-0.052
144,0.497938334165251,0.494
145,0.513844013872559,0.318
146,0.532775181531335,0.38
147,0.518047322463559,-0.296000000000001
148,0.524128006674808,0.122
149,0.512020496377807,-0.242
150,0.499279414075611,-0.254
151,0.425690274768488,-1.472
152,0.410454322992599,-0.304000000000001
153,0.376864480371947,-0.671999999999999
154,0.367972273600797,-0.178
155,0.37787055319764,0.198
