d	kstatic	sp_static	kdyn	sp_dyn	kProposed	sp_Prop
2998.75	1	1500	1	1500	1	1500
2998.75	1	1500	1	1500	1	1500
2998.75	1	1500	1	1500	1	1500
2998.75	1	1500	1	1500	1	1500
2998.75	1	1500	1	1500	1	1500
2998.75	1	1500	1	1500	1	1500
2998.75	1	1500	1	1500	1	1500
2998.75	1	1500	1	1500	1	1500
2998.75	1	1500	1	1500	1	1500
2998.75	1	1500	1	1500	1	1500
2998.75	1	1500	1	1500	1	1500
2998.75	1	1500	1	1500	1	1500
2998.75	1	1500	1	1500	1	1500
2998.75	1	1500	1	1500	1	1500
1101.89	0	0	0	0	0	0
1102.72	0	0	0	0	0	0
1213.14	0	0	0	0	0	0
1268.09	0	0	0	0	0	0
1271.5	0	0	0	0	0	0
1209.06	0	0	0	0	0	0
1335.44	0	0	0	0	0.02	30
1209.06	0	0	0	0	0	0
1209.06	0	0	0	0	0	0
1268.09	0	0	0	0	0	0
1404.48	0	0	0	0	0.02	30
1480.89	0	0	0	0	0.5	750
1651.28	0	0	0.5	750	1	1500
1649.17	0	0	0.5	750	1	1500
1649.17	0	0	0.5	750	1	1500
1748.64	0	0	0.5	750	1	1500
1746.22	0	0	0.5	750	1	1500
1748.64	0	0	0.5	750	1	1500
1748.64	0	0	0.5	750	1	1500
1479.26	0	0	0	0	0.02	30
1562.38	0	0	0.5	750	1	1500
1649.17	0	0	0.5	750	1	1500
1404.48	0	0	0	0	0.02	30
1474.42	0	0	0	0	0.5	750
1480.89	0	0	0	0	0.5	750
1748.64	0	0	1	1500	1	1500
1852.93	0.5	750	1	1500	1	1500
1874.25	0.5	750	1	1500	1	1500
1764.73	0.5	750	1	1500	1	1500
1785.64	0.5	750	1	1500	1	1500
1892.74	0.5	750	1	1500	1	1500
1801.05	0.5	750	1	1500	1	1500
1801.05	0.5	750	1	1500	1	1500
1917.31	0.5	750	1	1500	1	1500
1924.53	1	1500	1	1500	1	1500
1924.53	1	1500	1	1500	1	1500
1938.33	1	1500	1	1500	1	1500
2043.7	1	1500	1	1500	1	1500
1947.53	1	1500	1	1500	1	1500
1944.72	1	1500	1	1500	1	1500
1951.17	1	1500	1	1500	1	1500
1948.36	1	1500	1	1500	1	1500
1948.18	1	1500	1	1500	1	1500
1947.96	1	1500	1	1500	1	1500
1947.96	1	1500	1	1500	1	1500
1835.19	0.5	750	1	1500	1	1500
1941.9	1	1500	1	1500	1	1500
1933.71	1	1500	1	1500	1	1500
1933.71	1	1500	1	1500	1	1500
1917.86	1	1500	0.5	750	1	1500
1920.67	1	1500	1	1500	1	1500
2170.57	1	1500	1	1500	1	1500
2151.74	1	1500	1	1500	1	1500
2011.06	1	1500	1	1500	1	1500
1992.05	1	1500	1	1500	1	1500
1992.05	1	1500	1	1500	1	1500
1992.05	1	1500	1	1500	1	1500
1992.05	1	1500	1	1500	1	1500
1992.05	1	1500	1	1500	1	1500
1992.05	1	1500	1	1500	1	1500
1992.05	1	1500	1	1500	1	1500
1992.05	1	1500	1	1500	1	1500
1992.05	1	1500	1	1500	1	1500
1992.05	1	1500	1	1500	1	1500
1992.05	1	1500	1	1500	1	1500
