no,d,kstatic,sp_static,kdyn,sp_dyn,kProposed,sp_Prop,,,,,kstatic - stop,kdyn - stop,kProposed
1,2998.75,1,1500,1,1500,1,1500,,,,,,,
2,2998.75,1,1500,1,1500,1,1500,,,,,,,
3,2998.75,1,1500,1,1500,1,1500,,,,,,,
4,2998.75,1,1500,1,1500,1,1500,,,,,,,
5,2998.75,1,1500,1,1500,1,1500,,,,,,,
6,2998.75,1,1500,1,1500,1,1500,,,,,,,
7,2998.75,1,1500,1,1500,1,1500,,,,,,,
8,2998.75,1,1500,1,1500,1,1500,,,,,,,
9,2998.75,1,1500,1,1500,1,1500,,,,,,,
10,2998.75,1,1500,1,1500,1,1500,,,,,,,
11,2998.75,1,1500,1,1500,1,1500,,,,,,,
12,2998.75,1,1500,1,1500,1,1500,,,,,,,
13,2998.75,1,1500,1,1500,1,1500,,,,,,,
14,2998.75,1,1500,1,1500,1,1500,,,,,,,
15,1101.89,0,0,0,0,0,0,,,,,1,1,1
16,1102.72,0,0,0,0,0,0,,,,,2,2,2
17,1213.14,0,0,0,0,0,0,,,,,3,3,3
18,1268.09,0,0,0,0,0,0,,,,,4,4,4
19,1271.5,0,0,0,0,0,0,,,,,5,5,5
20,1209.06,0,0,0,0,0,0,,,,,6,6,6
21,1335.44,0,0,0,0,0.02,30,,,,,7,7,
22,1209.06,0,0,0,0,0,0,,,,,8,8,7
23,1209.06,0,0,0,0,0,0,,,,,9,9,8
24,1268.09,0,0,0,0,0,0,,,,,10,10,9
25,1404.48,0,0,0,0,0.02,30,,,,,11,11,
26,1480.89,0,0,0,0,0.5,750,,,,,12,12,
27,1651.28,0,0,0.5,750,1,1500,,,,,13,,
28,1649.17,0,0,0.5,750,1,1500,,,,,14,,
29,1649.17,0,0,0.5,750,1,1500,,,,,15,,
30,1748.64,0,0,0.5,750,1,1500,,,,,16,,
31,1746.22,0,0,0.5,750,1,1500,,,,,17,,
32,1748.64,0,0,0.5,750,1,1500,,,,,18,,
33,1748.64,0,0,0.5,750,1,1500,,,,,19,,
34,1479.26,0,0,0,0,0.02,30,,,,,20,,
35,1562.38,0,0,0.5,750,1,1500,,,,,21,,
36,1649.17,0,0,0.5,750,1,1500,,,,,22,,
37,1404.48,0,0,0,0,0.02,30,,,,,23,13,
38,1474.42,0,0,0,0,0.5,750,,,,,24,14,
39,1480.89,0,0,0,0,0.5,750,,,,,25,15,
40,1748.64,0,0,1,1500,1,1500,,,,,26,,
41,1852.93,0.5,750,1,1500,1,1500,,,,,,,
42,1874.25,0.5,750,1,1500,1,1500,,,,,,,
43,1764.73,0.5,750,1,1500,1,1500,,,,,,,
44,1785.64,0.5,750,1,1500,1,1500,,,,,,,
45,1892.74,0.5,750,1,1500,1,1500,,,,,,,
46,1801.05,0.5,750,1,1500,1,1500,,,,,,,
47,1801.05,0.5,750,1,1500,1,1500,,,,,,,
48,1917.31,0.5,750,1,1500,1,1500,,,,,,,
49,1924.53,1,1500,1,1500,1,1500,,,,,,,
50,1924.53,1,1500,1,1500,1,1500,,,,,,,
51,1938.33,1,1500,1,1500,1,1500,,,,,,,
52,2043.7,1,1500,1,1500,1,1500,,,,,,,
53,1947.53,1,1500,1,1500,1,1500,,,,,,,
54,1944.72,1,1500,1,1500,1,1500,,,,,,,
55,1951.17,1,1500,1,1500,1,1500,,,,,,,
56,1948.36,1,1500,1,1500,1,1500,,,,,,,
57,1948.18,1,1500,1,1500,1,1500,,,,,,,
58,1947.96,1,1500,1,1500,1,1500,,,,,,,
59,1947.96,1,1500,1,1500,1,1500,,,,,,,
60,1835.19,0.5,750,1,1500,1,1500,,,,,,,
61,1941.9,1,1500,1,1500,1,1500,,,,,,,
62,1933.71,1,1500,1,1500,1,1500,,,,,,,
63,1933.71,1,1500,1,1500,1,1500,,,,,,,
64,1917.86,1,1500,0.5,750,1,1500,,,,,,,
65,1920.67,1,1500,1,1500,1,1500,,,,,,,
66,2170.57,1,1500,1,1500,1,1500,,,,,,,
67,2151.74,1,1500,1,1500,1,1500,,,,,,,
68,2011.06,1,1500,1,1500,1,1500,,,,,,,
69,1992.05,1,1500,1,1500,1,1500,,,,,,,
70,1992.05,1,1500,1,1500,1,1500,,,,,,,
71,1992.05,1,1500,1,1500,1,1500,,,,,,,
72,1992.05,1,1500,1,1500,1,1500,,,,,,,
73,1992.05,1,1500,1,1500,1,1500,,,,,,,
74,1992.05,1,1500,1,1500,1,1500,,,,,,,
75,1992.05,1,1500,1,1500,1,1500,,,,,,,
76,1992.05,1,1500,1,1500,1,1500,,,,,,,
77,1992.05,1,1500,1,1500,1,1500,,,,,,,
78,1992.05,1,1500,1,1500,1,1500,,,,,,,
79,1992.05,1,1500,1,1500,1,1500,,,,,,,
